Key,English [en-GB]
ABILITY_CARD_ImpalingEruption,Impaling Eruption
ABILITY_CARD_ImpalingSpear,Impaling Spear
ABILITY_CARD_ImpendingEnd,Impending End
ABILITY_CARD_InescapableFate,Inescapable Fate
ABILITY_CARD_InexorableMomentum,Inexorable Momentum
ABILITY_CARD_InfernalVortex,Infernal Vortex
ABILITY_CARD_Inferno,Inferno
ABILITY_CARD_InkBomb,Ink Bomb
ABILITY_CARD_InspiringAnthem,Inspiring Anthem
ABILITY_CARD_InspiringSanctity,Inspiring Sanctity
ABILITY_CARD_InterplanarMastery,Interplanar Mastery
ABILITY_CARD_InterveningApparitions,Intervening Apparitions
ABILITY_CARD_IntotheNight,Into The Night
ABILITY_CARD_IronBulwark,Iron Bulwark
ABILITY_CARD_JawsofDeath,Jaws of Death
ABILITY_CARD_JetPropulsion,Jet Propulsion
ABILITY_CARD_Juggernaut,Juggernaut
ABILITY_CARD_KineticAssault,Kinetic Assault
ABILITY_CARD_KingoftheHill,King of the Hill
ABILITY_CARD_LashOut,Lash Out
ABILITY_CARD_LavaEruption,Lava Eruption
ABILITY_CARD_LayonHands,Lay on Hands
ABILITY_CARD_LeadtoSlaughter,Lead to Slaughter
ABILITY_CARD_LeapingCleave,Leaping Cleave
ABILITY_CARD_LeatheryWings,Leathery Wings
ABILITY_CARD_LethalInjection,Lethal Injection
ABILITY_CARD_LivingMountain,Living Mountain
ABILITY_CARD_LivingNight,Living Night
ABILITY_CARD_LivingTorch,Living Torch
ABILITY_CARD_LongCon,Long Con
ABILITY_CARD_LongRest,Long Rest
ABILITY_CARD_LumberingBash,Lumbering Bash
ABILITY_CARD_LurkingRuin,Lurking Ruin
ABILITY_CARD_MalleableEvocation,Malleable Evocation
ABILITY_CARD_ManaBolt,Mana Bolt
ABILITY_CARD_ManyasOne,Many As One
ABILITY_CARD_MarchingBeat,Marching Beat
ABILITY_CARD_MassExtinction,Mass Extinction
ABILITY_CARD_MassHysteria,Mass Hysteria
ABILITY_CARD_MassiveBoulder,Massive Boulder
ABILITY_CARD_MasterPhysician,Master Physician
ABILITY_CARD_Maul,Maul
ABILITY_CARD_MelodyandHarmony,Melody and Harmony
ABILITY_CARD_Meteor,Meteor
ABILITY_CARD_MicroBots,Micro Bots
ABILITY_CARD_MightyBond,Mighty Bond
ABILITY_CARD_MobileResponse,Mobile Response
ABILITY_CARD_MobilizingAxiom,Mobilizing Axiom
ABILITY_CARD_MobilizingMeasure,Mobilizing Measure
ABILITY_CARD_MultiProngedAssault,Multi-Pronged Assault
ABILITY_CARD_MurderousContraption,Murderous Contraption
ABILITY_CARD_NaturalRemedy,Natural Remedy
ABILITY_CARD_NaturesHunger,Nature's Hunger
ABILITY_CARD_NaturesLift,Nature's Lift
ABILITY_CARD_NegativeEnergy,Negative Energy
ABILITY_CARD_NetShooter,Net Shooter
ABILITY_CARD_Nightfall,Nightfall
ABILITY_CARD_NightmareSerenade,Nightmare Serenade
ABILITY_CARD_NightmarishAffliction,Nightmarish Affliction
ABILITY_CARD_NimbleKnife,Nimble Knife
ABILITY_CARD_NoxiousVials,Noxious Vials
ABILITY_CARD_NumbthePain,Numb the Pain
ABILITY_CARD_ObsidianShards,Obsidian Shards
ABILITY_CARD_OozingManifestation,Oozing Manifestation
ABILITY_CARD_OpenWound,Open Wound
ABILITY_CARD_OpposingStrike,Opposing Strike
ABILITY_CARD_OtherworldlyRage,Otherworldly Rage
ABILITY_CARD_OversizedPack,Oversized Pack
ABILITY_CARD_OverwhelmingAssault,Overwhelming Assault
ABILITY_CARD_PainsEnd,Pain's End
ABILITY_CARD_ParalyzingBite,Paralyzing Bite
ABILITY_CARD_ParasiticInfluence,Parasitic Influence
ABILITY_CARD_PatchFur,Patch Fur
ABILITY_CARD_PathofGlory,Path of Glory
ABILITY_CARD_PerverseEdge,Perverse Edge
ABILITY_CARD_Petrify,Petrify
ABILITY_CARD_PhantasmalKiller,Phantasmal Killer
ABILITY_CARD_Pilfer,Pilfer
ABILITY_CARD_PortableBallista,Portable Ballista
ABILITY_CARD_Possession,Possession
ABILITY_CARD_PotentPotables,Potent Potables
ABILITY_CARD_PowerBallad,Power Ballad
ABILITY_CARD_PracticalPlans,Practical Plans
ABILITY_CARD_PragmaticReinforcement,Pragmatic Reinforcement
ABILITY_CARD_Precaution,Precaution
ABILITY_CARD_PredatorandPrey,Predator and Prey
ABILITY_CARD_PreparefortheKill,Prepare for the Kill
ABILITY_CARD_PrepforSurgery,Prep for Surgery
ABILITY_CARD_Prescription,Prescription
ABILITY_CARD_PresstheAttack,Press the Attack
ABILITY_CARD_PreventionIsKey,Prevention Is Key
ABILITY_CARD_PrimalBlessing,Primal Blessing
ABILITY_CARD_PrimalDuality,Primal Duality
ABILITY_CARD_Proficiency,Proficiency
ABILITY_CARD_ProtectiveBlessing,Protective Blessing
ABILITY_CARD_ProvokeTerror,Provoke Terror
ABILITY_CARD_ProvokingRoar,Provoking Roar
ABILITY_CARD_ProximityMine,Proximity Mine
ABILITY_CARD_PsychicProjection,Psychic Projection
ABILITY_CARD_PulltheStrings,Pull the Strings
ABILITY_CARD_Pulverize,Pulverize
ABILITY_CARD_PunchThrough,Punch Through
ABILITY_CARD_PureAugmentation,Pure Augmentation
ABILITY_CARD_PurifyingAura,Purifying Aura
ABILITY_CARD_QuickHands,Quick Hands
ABILITY_CARD_QuietFrenzy,Quiet Frenzy
ABILITY_CARD_Quietus,Quietus
ABILITY_CARD_QuiverofArrows,Quiver of Arrows
ABILITY_CARD_RacetotheGrave,Race to the Grave
ABILITY_CARD_RainofArrows,Rain of Arrows
ABILITY_CARD_Rampage,Rampage
ABILITY_CARD_RawEnhancement,Raw Enhancement
ABILITY_CARD_RecklessOffensive,Reckless Offensive
ABILITY_CARD_Reforge,Reforge
ABILITY_CARD_Refreshment,Refreshment
ABILITY_CARD_RegenerativeTissue,Regenerative Tissue
ABILITY_CARD_ReinforcedSteel,Reinforced Steel
ABILITY_CARD_ReinvigoratingElixir,Reinvigorating Elixir
ABILITY_CARD_RelentlessAlly,Relentless Ally
ABILITY_CARD_RelentlessOffensive,Relentless Offensive
ABILITY_CARD_ResearchtheCure,Research the Cure
ABILITY_CARD_ReservedEnergy,Reserved Energy
ABILITY_CARD_ResoluteStand,Resolute Stand
ABILITY_CARD_Restock,Restock
ABILITY_CARD_RestorativeMist,Restorative Mist
ABILITY_CARD_RevivingEther,Reviving Ether
ABILITY_CARD_RevivingShock,Reviving Shock
ABILITY_CARD_RidetheWind,Ride the Wind
ABILITY_CARD_RighteousStrength,Righteous Strength
ABILITY_CARD_RisingMomentum,Rising Momentum
ABILITY_CARD_RockSlide,Rock Slide
ABILITY_CARD_RockTunnel,Rock Tunnel
ABILITY_CARD_RockyEnd,Rocky End
ABILITY_CARD_RotMaggots,Rot Maggots
ABILITY_CARD_RumblingAdvance,Rumbling Advance
ABILITY_CARD_SapLife,Sap Life
ABILITY_CARD_ScalesofJustice,Scales of Justice
ABILITY_CARD_ScatteredTerror,Scattered Terror
ABILITY_CARD_ScrollofAnnihilation,Scroll of Annihilation
ABILITY_CARD_ScrollofBlizzards,Scroll of Blizzards
ABILITY_CARD_ScrollofJudgment,Scroll of Judgment
ABILITY_CARD_ScrollofLightning,Scroll of Lightning
ABILITY_CARD_ScrollofRecall,Scroll of Recall
ABILITY_CARD_Scurry,Scurry
ABILITY_CARD_SeeingRed,Seeing Red
ABILITY_CARD_SelfishRetribution,Selfish Retribution
ABILITY_CARD_SentientGrowth,Sentient Growth
ABILITY_CARD_ShadowPuppets,Shadow Puppets
ABILITY_CARD_ShapingtheAether,Shaping the Ether
ABILITY_CARD_SharedNightmare,Shared Nightmare
ABILITY_CARD_SharpeningKit,Sharpening Kit
ABILITY_CARD_ShieldBash,Shield Bash
ABILITY_CARD_ShinyDistraction,Shiny Distraction
ABILITY_CARD_SidePouch,Side Pouch
ABILITY_CARD_SilentForce,Silent Force
ABILITY_CARD_SilentScream,Silent Scream
ABILITY_CARD_Simulacrum,Simulacrum
ABILITY_CARD_SingingArrow,Singing Arrow
ABILITY_CARD_SingleOut,Single Out
ABILITY_CARD_SingularFocus,Singular Focus
ABILITY_CARD_SinisterOpportunity,Sinister Opportunity
ABILITY_CARD_Skewer,Skewer
ABILITY_CARD_SkirmishingManeuver,Skirmishing Maneuver
ABILITY_CARD_SmokeBomb,Smoke Bomb
ABILITY_CARD_SmokeStep,Smoke Step
ABILITY_CARD_SoaringAlly,Soaring Ally
ABILITY_CARD_SolidBow,Solid Bow
ABILITY_CARD_SongofSpeed,Song of Speed
ABILITY_CARD_SoothingLullaby,Soothing Lullaby
ABILITY_CARD_Soulfire,Soulfire
ABILITY_CARD_SpareDagger,Spare Dagger
ABILITY_CARD_SpecialMixture,Special Mixture
ABILITY_CARD_SpikedArmor,Spiked Armor
ABILITY_CARD_SpiritSwap,Spirit Swap
ABILITY_CARD_SpiritofDoom,Spirit of Doom
ABILITY_CARD_SpiritoftheNight,Spirit of the Night
ABILITY_CARD_SpreadingScourge,Spreading Scourge
ABILITY_CARD_SpreadthePlague,Spread the Plague
ABILITY_CARD_SpringtheTrap,Spring the Trap
ABILITY_CARD_StaffofVisions,Staff of Visions
ABILITY_CARD_StaminaBooster,Stamina Booster
ABILITY_CARD_SticktotheShadows,Stick to the Shadows
ABILITY_CARD_StilettoStorm,Stiletto Storm
ABILITY_CARD_StingingCloud,Stinging Cloud
ABILITY_CARD_StokingHail,Stoking Hail
ABILITY_CARD_StoneFists,Stone Fists
ABILITY_CARD_StonePummel,Stone Pummel
ABILITY_CARD_StoneSigil,Stone Sigil
ABILITY_CARD_StormSigil,Storm Sigil
ABILITY_CARD_StormofWings,Storm of Wings
ABILITY_CARD_StrengthinAgony,Strength in Agony
ABILITY_CARD_StrengthinNumbers,Strength in Numbers
ABILITY_CARD_StunShot,Stun Shot
ABILITY_CARD_SubmissiveAffliction,Submissive Affliction
ABILITY_CARD_SuccumbtotheGift,Succumb to the Gift
ABILITY_CARD_SupportiveChant,Supportive Chant
ABILITY_CARD_SurgeonsSatchel,Surgeon's Satchel
ABILITY_CARD_SwallowedbyFear,Swallowed by Fear
ABILITY_CARD_SweepingBlow,Sweeping Blow
ABILITY_CARD_SwiftBow,Swift Bow
ABILITY_CARD_SwiftTrickery,Swift Trickery
ABILITY_CARD_Syringe,Syringe
ABILITY_CARD_TacticalOrder,Tactical Order
ABILITY_CARD_Teamwork,Teamwork
ABILITY_CARD_TeartheFabric,Tear the Fabric
ABILITY_CARD_TerrorBlade,Terror Blade
ABILITY_CARD_TheHuntBegins,The Hunt Begins
ABILITY_CARD_TheMawofMadness,The Maw of Madness
ABILITY_CARD_TheMindsWeakness,The Mind's Weakness
ABILITY_CARD_ThiefsKnack,Thief's Knack
ABILITY_CARD_ThrowVoice,Throw Voice
ABILITY_CARD_ThrowingKnives,Throwing Knives
ABILITY_CARD_TinkerersTools,Tinkerer's Tools
ABILITY_CARD_ToxicBolt,Toxic Bolt
ABILITY_CARD_Trample,Trample
ABILITY_CARD_TranquilTrill,Tranquil Trill
ABILITY_CARD_TremulantCyclone,Tremulant Cyclone
ABILITY_CARD_Triage,Triage
ABILITY_CARD_TribalSigil,Tribal Sigil
ABILITY_CARD_TrickstersReversal,Trickster's Reversal
ABILITY_CARD_TuningtheOutcome,Tuning the Outcome
ABILITY_CARD_TwinRestoration,Twin Restoration
ABILITY_CARD_TyrannicalForce,Tyrannical Force
ABILITY_CARD_UnbridledPower,Unbridled Power
ABILITY_CARD_UndertheSkin,Under the Skin
ABILITY_CARD_UnendingChant,Unending Chant
ABILITY_CARD_UnendingDominance,Unending Dominance
ABILITY_CARD_UnseenDread,Unseen Dread
ABILITY_CARD_UnstableUpheaval,Unstable Upheaval
ABILITY_CARD_UnstoppableBeast,Unstoppable Beast
ABILITY_CARD_UnstoppableCharge,Unstoppable Charge
ABILITY_CARD_UnstoppableDestruction,Unstoppable Destruction
ABILITY_CARD_UnwaveringHand,Unwavering Hand
ABILITY_CARD_UnwaveringMandate,Unwavering Mandate
ABILITY_CARD_Vaccine,Vaccine
ABILITY_CARD_Vengeance,Vengeance
ABILITY_CARD_VengefulBarrage,Vengeful Barrage
ABILITY_CARD_VenomShiv,Venom Shiv
ABILITY_CARD_VenomousAlly,Venomous Ally
ABILITY_CARD_ViciousAlly,Vicious Ally
ABILITY_CARD_ViciousBlood,Vicious Blood
ABILITY_CARD_VilePestilence,Vile Pestilence
ABILITY_CARD_VirulentStrain,Virulent Strain
ABILITY_CARD_VisageoftheInevitable,Visage of the Inevitable
ABILITY_CARD_VitalCharge,Vital Charge
ABILITY_CARD_VitalStrike,Vital Strike
ABILITY_CARD_VoiceoftheNight,Voice of the Night
ABILITY_CARD_VolatileConcoction,Volatile Concoction
ABILITY_CARD_VolatileConsumption,Volatile Consumption
ABILITY_CARD_VolatileFlame,Volatile Flame
ABILITY_CARD_WallofDoom,Wall of Doom
ABILITY_CARD_WardingDagger,Warding Dagger
ABILITY_CARD_WardingStrength,Warding Strength
ABILITY_CARD_WatchItBurn,Watch It Burn
ABILITY_CARD_WeaponofPurity,Weapon of Purity
ABILITY_CARD_Whirlwind,Whirlwind
ABILITY_CARD_WildAnimation,Wild Animation
ABILITY_CARD_WildCommand,Wild Command
ABILITY_CARD_WillingSacrifice,Willing Sacrifice
ABILITY_CARD_WingedCongregation,Winged Congregation
ABILITY_CARD_WingsoftheNight,Wings of the Night
ABILITY_CARD_WintersEdge,Winter's Edge
ABILITY_CARD_WistfulWounding,Wistful Wounding
ABILITY_CARD_WitheringClaw,Withering Claw
ABILITY_CARD_WretchedCreature,Wretched Creature
ABILITY_CARD_WretchedSwarm,Wretched Swarm
ABILITY_CARD_ZephyrWings,Zephyr Wings
ADVENTURE_ACHIEVEMENT_1_1_KillBandits,Neighbourhood Watch
ADVENTURE_ACHIEVEMENT_1_1_KillBandits_Desc,Kill 15 Bandits
ADVENTURE_ACHIEVEMENT_1_1_TakeDamage,Arrow In The Knee
ADVENTURE_ACHIEVEMENT_1_1_TakeDamage_Desc,Take 20 Damage
ADVENTURE_ACHIEVEMENT_1_1_UnlockLocations,Broadening Horizons
ADVENTURE_ACHIEVEMENT_1_1_UnlockLocations_Desc,Complete 9 Journey Missions
AND,and
ANISOTROPIC_FILTERING_DISABLE,Disable
ANISOTROPIC_FILTERING_ENABLE,Enable
ANISOTROPIC_FILTERING_FORCEENABLE,Force Enable
ANTIALISING_RENDER_AA_2,2
ANTIALISING_RENDER_AA_4,4
ANTIALISING_RENDER_AA_8,8
ANTIALISING_RENDER_DISABLED,Disable
ATTACK_AREA,Attack Area
AbandonedCatacombs,Abandoned Catacombs
AbandonedFarm,Abandoned Farm
AbandonedFarm_DESCR,"An abandoned farm lies just off the main road from Keyport. The smell of woodsmoke lingers here and much of the roof has collapsed, but a few of the rooms are still habitable for a night."
Add,Add
AddHeal,Add Heal
AddRange,Add Range
AddTarget,Add Target
AdjacentAlliesAndEnemies2Damage,All allies and enemies adjacent to the target suffer 2 damage.
Advantage,Advantage
Affect_AllAdjacentAllies,Affect all adjacent allies
Affect_AllAllies,Affect all allies
Affect_AnyOneAlly,Affect any one ally
Affect_OneAdjacentAlly,Affect one adjacent ally
Affect_SelfAndAllAdjacentAllies,Affect self and all adjacent allies
Affect_SelfAndAllAllies,Affect self and all allies
Affect_SelfAndAllAlliesInRange2,Affect self and all allies within <nobr>Range <sprite name=Range>2</nobr>
AllEnemies2Damage,All enemies suffer 2 damage.
Amberhill,Amberhill
Amberhill_DESCR,"The village of Amberhill lies midpoint on the route between Demonsgate and Keyport. It's a medium sized farming community, supplying grain and vegetables to both of the towns on either side of it."
AncientArtillery,Ancient Artillery
AncientArtilleryElite,Ancient Artillery Elite
AshenswordBarrow,Ashensword Barrow
Attack,Attack
AttackersGainDisadvantage,Attackers Gain Disadvantage
AttacksApply,Attacks apply
AttacksInfuse,Infused on Attack
Augment,Augment
Augment_DiscardReminder,"When another <color=#A7B3D2>Augment</color> is played, discard this card."
Augment_OnYourMeleeAttacks,On your melee attacks:
BanditArcher,Bandit Archer
BanditArcherElite,Bandit Archer Elite
BanditCommander,Bandit Commander
BanditGuard,Bandit Guard
BanditGuardElite,Bandit Guard Elite
BatSwarm,Bat Swarm
BattleBoar,Battle Boar
Battlebot,Battle Bot
BearTrap,Bear Trap
BeastTyrant,Beast Tyrant
BeastTyrantBear,Beast Tyrant's Bear
Berserker,Berserker
BlackImp,Black Imp
BlackImpElite,Black Imp Elite
BlackUnicorn,Black Unicorn
BlackrockAsylum,Blackrock Asylum
BlackrockAsylum_DESCR,"Looming out of the grasslands is the imposing structure of the Blackrock Asylum, an old field hospital now used for those deemed untreatable or undesirable. They sometimes sell off rare magical items at a hefty markup, confiscated when the inmates are admitted."
Bless,BLESS
BlightedKeep,Blighted Keep
Bloodford,Bloodford
Bloodford_DESCR,"The site of a great battle of the Valrath Wars, some say the river still runs red on a full moon."
BoneRanger,Bone Ranger
BoneRangerElite,Bone Ranger Elite
BoneshatterPass,Boneshatter Pass
BoneshatterPass_DESCR,"This quarry here shows few signs of life, the wind whistles around old ramshackle workers huts but some old equipment can still be purchased."
Boss,Boss
Boss_BanditCommander_Special1,Move to next door and reveal room
Brute,Brute
Brute_ADVENTURE_DESCRIPTION,"The Brute employs his great size and strength to earn a living by wielding his huge sword and impressive shield for those who pay the most.
Brutes are best used as front line melee troops, absorbing damage and protecting the more fragile ranged damage dealers and are best equipped with items that keep them alive longer!

Strengths:
- High Health, Defensive Abilities
- Access to early Disarm & Stun
- Great at pushing enemies about

Weaknesses:
- Low Mobility
- Poor Ranged Attacks
- Relatively Low Damage Output"
Brute_DESCRIPTION,The Brute employs his great size and strength to earn a living by wielding his huge sword and impressive shield for those who pay the most.
Brute_SKIN_ALT,Boneguard
BuriedTrenches,Buried Trenches
BuriedTrenches_DESCR,"Remnants of an old front line exist here with partly exposed battlements and bulwarks, a decent place to camp down for the night."
BurnedTavern,Burned Tavern
BurnedTavern_DESCR,"The remains of an old tavern stands testament to happier times. Raids by Bandits and sightings of unmentionable creatures from the petrified forest to the south drove away the owners in recent years. The sign, 'The Happy Hearth' creaks folornly in the breeze."
BurningAvatar,Burning Avatar
CLOSED_DOOR_TOOLTIP,Closed Door
COMBAT_LOG_ACTIVATE_TRAP,{0} activates {1} and takes {2} damage
COMBAT_LOG_ACTIVE_ABILITY,{0} gains the active ability: {1}
COMBAT_LOG_ACTOR_DIE,{0} dies
COMBAT_LOG_ADD_TARGET, adds {0} additional targets to subsequent attacks
COMBAT_LOG_APPLY_ABILITY,{0} applies {1} to {2}
COMBAT_LOG_ATTACK,{0} attacks {1} with {2}
COMBAT_LOG_CONSUME_DAMAGE,"{0} consumes {1}, adding {2} to the attack"
COMBAT_LOG_CONSUME_DAMAGE_TARGET,{0} deals {1} to {2}
COMBAT_LOG_CONSUME_ELEMENT,{0} has been consumed
COMBAT_LOG_CONSUME_HEAL,"{0} consumes {1}, adding {2}  to the heal"
COMBAT_LOG_CREATE_PROP,{0} creates a {1}
COMBAT_LOG_CREATE_PROPS,{0} creates {1}
COMBAT_LOG_CREATE_TRAP,{0} places a {1}
COMBAT_LOG_DAMAGE,{0} deals {1} damage {2} to {3}
COMBAT_LOG_DESTROY_PROP,{0} destroys a {1}
COMBAT_LOG_DESTROY_PROPS,{0} destroys {1}
COMBAT_LOG_DISARM_PROP,{0} disarms a {1}
COMBAT_LOG_DISARM_PROPS,{0} disarms {1}
COMBAT_LOG_DRAW_ATTACK_MODIFIER,{0} draws a {1} attack modifier
COMBAT_LOG_DRAW_ATTACK_MODIFIERS,{0} draws {1} and {2} attack modifiers
COMBAT_LOG_HEAL,{0} heals {1} with {2}
COMBAT_LOG_HEALED,{0} is healed
COMBAT_LOG_HEALED_HEAL, for {0}
COMBAT_LOG_HEALED_POISON, removing Poison
COMBAT_LOG_HEALED_WOUND, and removing Wound
COMBAT_LOG_HEXES,hexes
